id,incident_type,severity,priority,description,latitude,longitude
1,fire,critical,1,Massive explosion at chemical factory! Multiple workers trapped inside and flames spreading to adjacent units.,13.013428,77.452103
2,fire,critical,1,"Four-story residential building fully engulfed in flames. Screaming heard from upper floors, multiple casualties reported.",12.904109,77.511563
3,fire,critical,1,"Severe fire outbreak in downtown commercial complex, heavy black smoke, structural collapse imminent.",13.042541,77.64761
4,fire,critical,1,Industrial gas pipeline rupture with huge fireball and multiple injured workers trapped in plant area.,13.089254,77.470682
5,fire,critical,1,"Major warehouse fire with toxic fumes released, nearby school needing immediate evacuation.",12.948177,77.453539
6,fire,high,2,"Apartment fire on third floor, flames visible from balcony. Residents evacuating, 2 people suffering from smoke inhalation.",12.887191,77.596207
7,fire,high,2,Wildfire spreading rapidly towards residential suburb due to high winds. Urgent containment needed.,12.829561,77.504251
8,fire,high,2,"Restaurant kitchen fire spreading to roof ventilation. Staff evacuated, fire brigade requested urgently.",13.016565,77.608082
9,fire,high,2,"Vehicle pileup caught fire on national highway, two cars burning with people trapped.",12.887732,77.62138
10,fire,high,2,"Electrical substation transformer caught fire, loud buzzing and thick smoke in residential area.",13.064429,77.44655
11,fire,medium,3,Small dumpster fire in alleyway behind supermarket. No structures currently threatened.,13.063346,77.654042
12,fire,medium,3,"Dry grass fire in vacant plot near railway track, smoke blowing towards road.",12.923675,77.491244
13,fire,medium,3,"Car engine caught fire on roadside shoulder, driver is out safely, no injuries.",13.108764,77.545578
14,fire,medium,3,Small smoke coming from air conditioning unit on second floor office.,12.849424,77.473615
15,fire,medium,3,"Rubbish pile burning near vacant construction site, smoke bothering nearby residents.",13.075848,77.625718
16,fire,low,4,Controlled agricultural burn producing slight smoke in rural boundary.,13.063738,77.66352
17,fire,low,4,"Unattended small bonfire in public park, no immediate danger.",12.982468,77.736535
18,fire,low,4,"Extinguished kitchen pan fire, caller requesting precautionary smoke inspection.",12.93516,77.610212
19,fire,low,4,Smoldering campfire remains found in picnic clearing.,13.070421,77.630156
20,flood,critical,1,"River embankment breach! Flash flood submerging entire low-lying village, over 50 families stranded on rooftops.",13.080112,77.617806
21,flood,critical,1,"Reservoir dam overflow causing rapid surge, bridge washed away, several vehicles swept away with passengers.",13.032972,77.458347
22,flood,critical,1,"Catastrophic urban flash flooding, basement parking submerged with people trapped inside elevator.",12.889969,77.531416
23,flood,critical,1,"Severe storm surge breaking seawall, water rushing into coastal hospital ground floor.",12.845538,77.514437
24,flood,high,2,"Heavy rain causing storm canal to overflow, water entering ground floor houses in Sector 4.",12.8519,77.527992
25,flood,high,2,"Underpass completely flooded with 5 feet of water, two cars stuck with passengers waiting on roof.",13.012305,77.55405
26,flood,high,2,"River water level rising above danger mark, low-lying slums being evacuated.",12.932654,77.507452
27,flood,high,2,"Main drainage choked, waist-deep water flooding commercial district streets.",12.901693,77.725596
28,flood,medium,3,"Waterlogging on main avenue causing 2-hour traffic gridlock, water reaching knee height.",13.016011,77.627339
29,flood,medium,3,Storm drain overflowing onto pedestrian sidewalk and parking lot.,12.872942,77.663338
30,flood,medium,3,"Basement of apartment complex experiencing water ingress, pumps required.",12.870621,77.558437
31,flood,medium,3,"Road flooded after heavy downpour, passenger vehicles having difficulty crossing.",13.118457,77.6366
32,flood,low,4,"Puddle accumulation on residential street curb, slow drainage.",12.988685,77.649984
33,flood,low,4,"Minor gutter seepage in lane 5, no property damage.",13.074456,77.6774
34,flood,low,4,Surface water pooling near park entrance following light drizzle.,12.890314,77.45423
35,industrial_accident,critical,1,"Ammonia gas leak detected at cold storage facility, 15 workers unconscious and mass casualty alert sounded.",12.916236,77.524922
36,industrial_accident,critical,1,"Boiler blast at manufacturing unit, roof collapsed with multiple workers buried under debris.",12.884895,77.727473
37,industrial_accident,critical,1,"Toxic chemical spill of chlorine gas, corrosive cloud spreading towards residential colony.",13.08451,77.539003
38,industrial_accident,critical,1,"Radiation warning alarm triggered in testing lab, immediate hazmat response required.",13.018232,77.56329
